S,Word,Wor/Phr,Type,British phonetics,5916,LV,700,1334,800,260,412,20465
1,action,W,n,ˈækʃ(ə)n,5916,A1,700,1334,,,,20465
2,activity,W,n,ækˈtɪvɪti,5916,A1,700,1334,,,,20465
3,area,W,n,ˈeərɪə,5916,A1,700,1334,,,,20465
4,article,W,n,ˈɑːtɪkl,5916,A1,700,1334,,,,20465
5,change,W,n,ʧeɪnʤ,5916,A1,700,1334,,,,20465
6,change,W,v,ʧeɪnʤ,5916,A1,700,1334,,,,20465
7,common,W,adj,ˈkɒmən,5916,A1,700,1334,,,,20465
8,compare,W,v,kəmˈpeə,5916,A1,700,1334,,,,20465
9,country,W,n,ˈkʌntri,5916,A1,700,1334,,,,20465
10,create,W,v,kri(ː)ˈeɪt,5916,A1,700,1334,,,,20465
11,culture,W,n,ˈkʌlʧə,5916,A1,700,1334,,,,20465
12,describe,W,v,dɪsˈkraɪb,5916,A1,700,1334,,,,20465
13,description,W,n,dɪsˈkrɪpʃən,5916,A1,700,1334,,,,20465
14,design,W,n,dɪˈzaɪn,5916,A1,700,1334,,,,20465
15,design,W,v,dɪˈzaɪn,5916,A1,700,1334,,,,20465
16,detail,W,n,ˈdiːteɪl,5916,A1,700,1334,,,,20465
17,difference,W,n,ˈdɪfrəns,5916,A1,700,1334,,,,20465
18,different,W,adj,ˈdɪfrənt,5916,A1,700,1334,,,,20465
19,difficult,W,adj,ˈdɪfɪkəlt,5916,A1,700,1334,,,,20465
20,discuss,W,v,dɪsˈkʌs,5916,A1,700,1334,,,,20465
21,early,W,adj,ˈɜːli,5916,A1,700,1334,,,,20465
22,event,W,n,ɪˈvɛnt,5916,A1,700,1334,,,,20465
23,example,W,n,ɪgˈzɑːmpl,5916,A1,700,1334,,,,20465
24,explain,W,v,ɪksˈpleɪn,5916,A1,700,1334,,,,20465
25,fact,W,n,fækt,5916,A1,700,1334,,,,20465
26,form,W,n,fɔːm,5916,A1,700,1334,,,,20465
27,form,W,v,fɔːm,5916,A1,700,1334,,,,20465
28,group,W,n,gruːp,5916,A1,700,1334,,,,20465
29,high,W,adj,haɪ,5916,A1,700,1334,,,,20465
30,history,W,n,ˈhɪstəri,5916,A1,700,1334,,,,20465
31,important,W,adj,ɪmˈpɔːtənt,5916,A1,700,1334,,,,20465
32,information,W,n,ˌɪnfəˈmeɪʃən,5916,A1,700,1334,,,,20465
33,interest,W,n,ˈɪntrɪst,5916,A1,700,1334,,,,20465
34,introduce,W,v,ˌɪntrəˈdjuːs,5916,A1,700,1334,,,,20465
35,key,W,adj,kiː,5916,A1,700,1334,,,,20465
36,language,W,n,ˈlæŋgwɪʤ,5916,A1,700,1334,,,,20465
37,large,W,adj,lɑːʤ,5916,A1,700,1334,,,,20465
38,line,W,n,laɪn,5916,A1,700,1334,,,,20465
39,list,W,n,lɪst,5916,A1,700,1334,,,,20465
40,list,W,v,lɪst,5916,A1,700,1334,,,,20465
41,main,W,adj,meɪn,5916,A1,700,1334,,,,20465
42,model,W,n,ˈmɒdl,5916,A1,700,1334,,,,20465
43,modern,W,adj,ˈmɒdən,5916,A1,700,1334,,,,20465
