List,world,type
Sublist 1,activity,n
Sublist 1,affect,v
Sublist 1,analysis,n
Sublist 1,apply,v
Sublist 1,approach,n
Sublist 1,area,n
Sublist 1,associate,v
Sublist 1,available,adj
Sublist 1,based,adj
Sublist 1,behaviour,n
Sublist 1,between,prep
Sublist 1,case,n
Sublist 1,change,n
Sublist 1,change,v
Sublist 1,community,n
Sublist 1,compare,v
Sublist 1,condition,n
Sublist 1,context,n
Sublist 1,country,n
Sublist 1,cultural,adj
Sublist 1,culture,n
Sublist 1,data,n
Sublist 1,define,v
Sublist 1,develop,v
Sublist 1,development,n
Sublist 1,difference,n
Sublist 1,different,adj
Sublist 1,economic,adj
Sublist 1,effect,n
Sublist 1,environment,n
Sublist 1,environmental,adj
Sublist 1,example,n
Sublist 1,factor,n
Sublist 1,form,n
Sublist 1,form,v
Sublist 1,function,n
Sublist 1,function,v
Sublist 1,global,adj
Sublist 1,group,n
Sublist 1,group,v
Sublist 1,growth,n
Sublist 1,high,adj
Sublist 1,human,adj
Sublist 1,identify,v
Sublist 1,important,adj
Sublist 1,increase,n
Sublist 1,increase,v
Sublist 1,individual,adj
Sublist 1,individual,n
Sublist 1,information,n
Sublist 1,interaction,n
Sublist 1,international,adj
Sublist 1,issue,n
Sublist 1,law,n
Sublist 1,level,n
Sublist 1,likely,adj
Sublist 1,likely,adv
Sublist 1,low,adj
Sublist 1,may,modal
Sublist 1,may,v
Sublist 1,measure,n
Sublist 1,measure,v
Sublist 1,method,n
Sublist 1,model,n
Sublist 1,model,v
Sublist 1,national,adj
Sublist 1,national,n
Sublist 1,number,n
Sublist 1,occur,v
Sublist 1,organization,n
Sublist 1,particular,adj
Sublist 1,particular,n
Sublist 1,policy,n
Sublist 1,population,n
Sublist 1,practice,n
Sublist 1,process,n
Sublist 1,process,v
Sublist 1,product,n
Sublist 1,provide,v
Sublist 1,rate,n
Sublist 1,rate,v
Sublist 1,reduce,v
Sublist 1,region,n
Sublist 1,relation,n
Sublist 1,relationship,n
Sublist 1,require,v
Sublist 1,research,n
Sublist 1,resource,n
Sublist 1,result,n
Sublist 1,result,v
Sublist 1,risk,n
Sublist 1,role,n
Sublist 1,sample,n
Sublist 1,sample,v
Sublist 1,significant,adj
Sublist 1,social,adj
Sublist 1,specific,adj
Sublist 1,state,n
Sublist 1,state,v
Sublist 1,strategy,n
Sublist 1,structure,n
Sublist 1,structure,v
Sublist 1,study,n
Sublist 1,study,v
Sublist 1,such,det
Sublist 1,suggest,v
Sublist 1,system,n
Sublist 1,term,n
Sublist 1,term,v
Sublist 1,terms,n
Sublist 1,theory,n
Sublist 1,therefore,adv
Sublist 1,thus,adv
Sublist 1,treatment,n
Sublist 1,type,n
Sublist 1,use,n
Sublist 1,use,v
Sublist 1,value,n
Sublist 1,variable,adj
Sublist 1,variable,n
Sublist 1,whether,conj
Sublist 1,within,prep
Sublist 10,accordingly,adv
Sublist 10,accumulation,n
Sublist 10,acknowledge,v
Sublist 10,acquisition,n
Sublist 10,administrative,adj
Sublist 10,alternatively,adv
Sublist 10,analytical,adj
Sublist 10,annual,adj
Sublist 10,applicable,adj
Sublist 10,assert,v
Sublist 10,assign,v
Sublist 10,attribute,n
Sublist 10,attribute,v
Sublist 10,beneficial,adj
Sublist 10,conservation,n
Sublist 10,continuity,n
Sublist 10,convention,n
Sublist 10,convert,v
Sublist 10,coordination,n
Sublist 10,dependence,n
Sublist 10,deviation,n
Sublist 10,disadvantage,n
Sublist 10,disadvantage,v
Sublist 10,distinctive,adj
Sublist 10,donor,n
Sublist 10,elevate,v
Sublist 10,elsewhere,adv
Sublist 10,encode,v
Sublist 10,encounter,n
Sublist 10,encounter,v
Sublist 10,ethnicity,n
Sublist 10,evident,adj
Sublist 10,exclusion,n
Sublist 10,exploit,v
Sublist 10,expose,v
Sublist 10,favour,v
Sublist 10,formulation,n
Sublist 10,generalize,v
Sublist 10,geographical,adj
Sublist 10,guidance,n
Sublist 10,harm,n
Sublist 10,hierarchy,n
Sublist 10,horizontal,adj
Sublist 10,independently,adv
Sublist 10,indication,n
Sublist 10,infer,v
Sublist 10,inference,n
Sublist 10,inherent,adj
Sublist 10,integrated,adj
Sublist 10,intermediate,adj
Sublist 10,interviewer,n
Sublist 10,intrinsic,adj
Sublist 10,justification,n
Sublist 10,meaningful,adj
Sublist 10,mediate,v
Sublist 10,methodological,adj
Sublist 10,modelling,n
Sublist 10,motivate,v
Sublist 10,neutral,adj
Sublist 10,novel,adj
Sublist 10,observer,n
Sublist 10,occupation,n
Sublist 10,occurrence,n
Sublist 10,otherwise,adv
Sublist 10,overlap,n
Sublist 10,overlap,v
Sublist 10,overview,n
Sublist 10,pose,v
Sublist 10,precede,v
Sublist 10,presentation,n
Sublist 10,problematic,adj
Sublist 10,proportional,adj
Sublist 10,protocol,n
Sublist 10,rapidly,adv
Sublist 10,readily,adv
Sublist 10,recovery,n
Sublist 10,regardless of,prep
Sublist 10,reinforce,v
Sublist 10,release,n
Sublist 10,relevance,n
Sublist 10,reliability,n
Sublist 10,reliable,adj
Sublist 10,removal,n
Sublist 10,representative,adj
Sublist 10,representative,n
Sublist 10,resident,n
Sublist 10,selective,adj
Sublist 10,sensitive,adj
Sublist 10,simultaneously,adv
Sublist 10,socially,adv
Sublist 10,specialized,adj
Sublist 10,specification,n
Sublist 10,sphere,n
Sublist 10,stimulate,v
Sublist 10,stock,n
Sublist 10,subjective,adj
Sublist 10,substitution,n
Sublist 10,sufficiently,adv
Sublist 10,tension,n
Sublist 10,territory,n
Sublist 10,traditionally,adv
Sublist 10,undertake,v
Sublist 10,upper,adj
Sublist 10,voluntary,adj
Sublist 10,wealth,n
Sublist 11,abnormal,adj
Sublist 11,abnormality,n
Sublist 11,absent,adj
Sublist 11,accept,v
Sublist 11,accessible,adj
Sublist 11,accountability,n
Sublist 11,achievement,n
Sublist 11,actively,adv
Sublist 11,additionally,adv
Sublist 11,analyst,n
Sublist 11,appear,v
Sublist 11,appropriately,adv
Sublist 11,arguably,adv
Sublist 11,behave,v
Sublist 11,beneficiary,n
Sublist 11,broadly,adv
Sublist 11,categorize,v
Sublist 11,character,n
Sublist 11,characterization,n
Sublist 11,conceive,v
Sublist 11,conceptualize,v
Sublist 11,conditional,adj
Sublist 11,consistency,n
Sublist 11,consistently,adv
Sublist 11,consume,v
Sublist 11,creative,adj
Sublist 11,culturally,adv
Sublist 11,descriptive,adj
Sublist 11,determination,n
Sublist 11,differently,adv
Sublist 11,direction,n
Sublist 11,dominance,n
Sublist 11,economically,adv
Sublist 11,efficacy,n
Sublist 11,efficiently,adv
Sublist 11,essence,n
Sublist 11,estimation,n
Sublist 11,exclusive,adj
Sublist 11,exclusively,adv
Sublist 11,explanatory,adj
Sublist 11,exploration,n
Sublist 11,fundamentally,adv
Sublist 11,generalization,n
Sublist 11,governmental,adj
Sublist 11,historically,adv
Sublist 11,hypothesize,v
Sublist 11,hypothetical,adj
Sublist 11,implicit,adj
Sublist 11,implicitly,adv
Sublist 11,importantly,adv
Sublist 11,inappropriate,adj
Sublist 11,inconsistent,adj
Sublist 11,independence,n
Sublist 11,indirectly,adv
Sublist 11,inform,v
Sublist 11,informed,adj
Sublist 11,insufficient,adj
Sublist 11,integral,adj
Sublist 11,interactive,adj
Sublist 11,intervene,v
Sublist 11,interviewee,n
Sublist 11,investigator,n
Sublist 11,leader,n
Sublist 11,legally,adv
Sublist 11,localized,adj
Sublist 11,locally,adv
Sublist 11,mobile,adj
Sublist 11,mobilize,v
Sublist 11,modernity,n
Sublist 11,modernization,n
Sublist 11,necessity,n
Sublist 11,negatively,adv
Sublist 11,normally,adv
Sublist 11,operational,adj
Sublist 11,originally,adv
Sublist 11,originate,v
Sublist 11,positively,adv
Sublist 11,predominantly,adv
Sublist 11,procedural,adj
Sublist 11,productive,adj
Sublist 11,projection,n
Sublist 11,proposal,n
Sublist 11,reconstruct,v
Sublist 11,reconstruction,n
Sublist 11,recording,n
Sublist 11,reflection,n
Sublist 11,remove,v
Sublist 11,reporting,n
Sublist 11,respond,v
Sublist 11,secondly,adv
Sublist 11,sexuality,n
Sublist 11,simplify,v
Sublist 11,societal,adj
Sublist 11,systematically,adv
Sublist 11,terminology,n
Sublist 11,usage,n
Sublist 11,valuable,adj
Sublist 11,varied,adj
Sublist 11,viewer,n
Sublist 11,wide,adj
Sublist 12,accumulate,v
Sublist 12,accurately,adv
Sublist 12,acquire,v
Sublist 12,adaptive,adj
Sublist 12,adequately,adv
Sublist 12,administer,v
Sublist 12,administration,n
Sublist 12,alteration,n
Sublist 12,approximation,n
Sublist 12,assertion,n
Sublist 12,aware,adj
Sublist 12,capable,adj
Sublist 12,causation,n
Sublist 12,centralize,v
Sublist 12,certainty,n
Sublist 12,classic,adj
Sublist 12,conservative,adj
Sublist 12,conserve,v
Sublist 12,considerably,adv
Sublist 12,constrain,v
Sublist 12,constructive,adj
Sublist 12,conversion,n
Sublist 12,cooperative,adj
Sublist 12,coordinate,n
Sublist 12,coordinate,v
Sublist 12,correction,n
Sublist 12,correctly,adv
Sublist 12,critically,adv
Sublist 12,criticize,v
Sublist 12,cumulative,adj
Sublist 12,desirable,adj
Sublist 12,empirically,adv
Sublist 12,empower,v
Sublist 12,equivalence,n
Sublist 12,establishment,n
Sublist 12,excessive,adj
Sublist 12,exemplify,v
Sublist 12,expertise,n
Sublist 12,exploitation,n
Sublist 12,favourable,adj
Sublist 12,formulate,v
Sublist 12,frequent,adj
Sublist 12,harmful,adj
Sublist 12,hierarchical,adj
Sublist 12,ideally,adv
Sublist 12,inability,n
Sublist 12,inadequate,adj
Sublist 12,individually,adv
Sublist 12,induction,n
Sublist 12,initiation,n
Sublist 12,instability,n
Sublist 12,intend,v
Sublist 12,intensive,adj
Sublist 12,irrelevant,adj
Sublist 12,isolation,n
Sublist 12,logical,adj
Sublist 12,migrate,v
Sublist 12,minimal,adj
Sublist 12,minor,adj
Sublist 12,naturally,adv
Sublist 12,occupy,v
Sublist 12,orient,v
Sublist 12,partially,adv
Sublist 12,partly,adv
Sublist 12,precision,n
Sublist 12,progression,n
Sublist 12,progressive,adj
Sublist 12,quantify,v
Sublist 12,randomize,v
Sublist 12,randomly,adv
Sublist 12,rating,n
Sublist 12,rationale,n
Sublist 12,rationality,n
Sublist 12,reasonably,adv
Sublist 12,rejection,n
Sublist 12,reliance,n
Sublist 12,replacement,n
Sublist 12,resistant,adj
Sublist 12,restrictive,adj
Sublist 12,satisfaction,n
Sublist 12,sensory,adj
Sublist 12,separately,adv
Sublist 12,simultaneous,adj
Sublist 12,stabilize,v
Sublist 12,stimulation,n
Sublist 12,strength,n
Sublist 12,strengthen,v
Sublist 12,substantive,adj
Sublist 12,substitute,v
Sublist 12,successfully,adv
Sublist 12,theoretically,adv
Sublist 12,transportation,n
Sublist 12,ultimate,adj
Sublist 12,unclear,adj
Sublist 12,undertaking,n
Sublist 12,unrelated,adj
Sublist 12,unstable,adj
Sublist 12,utilization,n
Sublist 12,validate,v
Sublist 12,validation,n
Sublist 12,visible,adj
Sublist 2,application,n
Sublist 2,appropriate,adj
Sublist 2,argue,v
Sublist 2,aspect,n
Sublist 2,assess,v
Sublist 2,assessment,n
Sublist 2,basis,n
Sublist 2,benefit,n
Sublist 2,benefit,v
Sublist 2,care,n
Sublist 2,category,n
Sublist 2,characteristic,adj
Sublist 2,characteristic,n
Sublist 2,common,adj
Sublist 2,complex,adj
Sublist 2,complex,n
Sublist 2,component,n
Sublist 2,concept,n
Sublist 2,consider,v
Sublist 2,control,n
Sublist 2,control,v
Sublist 2,current,adj
Sublist 2,current,n
Sublist 2,decision,n
Sublist 2,definition,n
Sublist 2,demand,n
Sublist 2,depend,v
Sublist 2,describe,v
Sublist 2,determine,v
Sublist 2,discuss,v
Sublist 2,distribution,n
Sublist 2,due,adj
Sublist 2,effective,adj
Sublist 2,element,n
Sublist 2,energy,n
Sublist 2,evidence,n
Sublist 2,examine,v
Sublist 2,exist,v
Sublist 2,extent,n
Sublist 2,finding,n
Sublist 2,generate,v
Sublist 2,however,adv
Sublist 2,identity,n
Sublist 2,impact,n
Sublist 2,impact,v
Sublist 2,include,v
Sublist 2,indicate,v
Sublist 2,intervention,n
Sublist 2,involve,v
Sublist 2,key,adj
Sublist 2,knowledge,n
Sublist 2,means,n
Sublist 2,mechanism,n
Sublist 2,nature,n
Sublist 2,negative,adj
Sublist 2,network,n
Sublist 2,observe,v
Sublist 2,often,adv
Sublist 2,outcome,n
Sublist 2,output,n
Sublist 2,participant,n
Sublist 2,pattern,n
Sublist 2,per,prep
Sublist 2,per cent,adj
Sublist 2,per cent,n
Sublist 2,perspective,n
Sublist 2,physical,adj
Sublist 2,positive,adj
Sublist 2,possible,adj
Sublist 2,potential,adj
Sublist 2,potential,n
Sublist 2,pressure,n
Sublist 2,primary,adj
Sublist 2,principle,n
Sublist 2,problem,n
Sublist 2,procedure,n
Sublist 2,produce,v
Sublist 2,production,n
Sublist 2,programme,n
Sublist 2,public,adj
Sublist 2,public,n
Sublist 2,quality,n
Sublist 2,range,n
Sublist 2,range,v
Sublist 2,recent,adj
Sublist 2,refer,v
Sublist 2,related,adj
Sublist 2,relative,adj
Sublist 2,relative,n
Sublist 2,relatively,adv
Sublist 2,relevant,adj
Sublist 2,report,n
Sublist 2,report,v
Sublist 2,represent,v
Sublist 2,response,n
Sublist 2,rule,n
Sublist 2,scale,n
Sublist 2,scale,v
Sublist 2,section,n
Sublist 2,sector,n
Sublist 2,sequence,n
Sublist 2,show,v
Sublist 2,similar,adj
Sublist 2,site,n
Sublist 2,size,n
Sublist 2,solution,n
Sublist 2,source,n
Sublist 2,technology,n
Sublist 2,test,n
Sublist 2,test,v
Sublist 2,total,adj
Sublist 2,total,n
Sublist 2,unit,n
Sublist 2,variation,n
Sublist 2,whereas,conj
Sublist 3,above,adj
Sublist 3,above,adv
Sublist 3,above,n
Sublist 3,access,n
Sublist 3,access,v
Sublist 3,according to,prep
Sublist 3,achieve,v
Sublist 3,action,n
Sublist 3,additional,adj
Sublist 3,address,v
Sublist 3,analyse,v
Sublist 3,argument,n
Sublist 3,assume,v
Sublist 3,assumption,n
Sublist 3,basic,adj
Sublist 3,central,adj
Sublist 3,communication,n
Sublist 3,conflict,n
Sublist 3,conflict,v
Sublist 3,consequence,n
Sublist 3,contain,v
Sublist 3,content,n
Sublist 3,contrast,n
Sublist 3,contrast,v
Sublist 3,criterion,n
Sublist 3,critical,adj
Sublist 3,cycle,n
Sublist 3,decrease,n
Sublist 3,decrease,v
Sublist 3,demonstrate,v
Sublist 3,derive,v
Sublist 3,differ,v
Sublist 3,direct,adj
Sublist 3,direct,v
Sublist 3,discussion,n
Sublist 3,domain,n
Sublist 3,education,n
Sublist 3,ensure,v
Sublist 3,estimate,n
Sublist 3,estimate,v
Sublist 3,event,n
Sublist 3,experience,n
Sublist 3,experience,v
Sublist 3,express,v
Sublist 3,external,adj
Sublist 3,feature,n
Sublist 3,feature,v
Sublist 3,flow,n
Sublist 3,flow,v
Sublist 3,focus,n
Sublist 3,focus,v
Sublist 3,framework,n
Sublist 3,gender,n
Sublist 3,general,adj
Sublist 3,general,n
Sublist 3,generally,adv
Sublist 3,government,n
Sublist 3,hence,adv
Sublist 3,imply,v
Sublist 3,importance,n
Sublist 3,improve,v
Sublist 3,influence,n
Sublist 3,influence,v
Sublist 3,input,n
Sublist 3,internal,adj
Sublist 3,interpretation,n
Sublist 3,interview,n
Sublist 3,interview,v
Sublist 3,language,n
Sublist 3,legal,adj
Sublist 3,less,adv
Sublist 3,less,det
Sublist 3,less,pron
Sublist 3,limit,n
Sublist 3,limit,v
Sublist 3,literature,n
Sublist 3,local,adj
Sublist 3,major,adj
Sublist 3,material,adj
Sublist 3,material,n
Sublist 3,meaning,n
Sublist 3,media,n
Sublist 3,multiple,adj
Sublist 3,necessary,adj
Sublist 3,need,n
Sublist 3,note,v
Sublist 3,obtain,v
Sublist 3,order,n
Sublist 3,overall,adj
Sublist 3,overall,adv
Sublist 3,perform,v
Sublist 3,performance,n
Sublist 3,period,n
Sublist 3,phase,n
Sublist 3,present,adj
Sublist 3,present,n
Sublist 3,present,v
Sublist 3,probability,n
Sublist 3,project,n
Sublist 3,project,v
Sublist 3,question,n
Sublist 3,ratio,n
Sublist 3,reaction,n
Sublist 3,reduction,n
Sublist 3,reference,n
Sublist 3,reflect,v
Sublist 3,requirement,n
Sublist 3,researcher,n
Sublist 3,right,n
Sublist 3,service,n
Sublist 3,set,n
Sublist 3,significantly,adv
Sublist 3,society,n
Sublist 3,standard,adj
Sublist 3,standard,n
Sublist 3,status,n
Sublist 3,survey,n
Sublist 3,technique,n
Sublist 3,tend,v
Sublist 3,text,n
Sublist 3,traditional,adj
Sublist 3,understanding,n
Sublist 3,useful,adj
Sublist 3,vary,v
Sublist 4,account,n
Sublist 4,account,v
Sublist 4,alternative,adj
Sublist 4,alternative,n
Sublist 4,among,prep
Sublist 4,amount,n
Sublist 4,amount,v
Sublist 4,arise,v
Sublist 4,association,n
Sublist 4,average,adj
Sublist 4,average,n
Sublist 4,average,v
Sublist 4,belief,n
Sublist 4,capacity,n
Sublist 4,century,n
Sublist 4,certain,adj
Sublist 4,challenge,n
Sublist 4,challenge,v
Sublist 4,characterize,v
Sublist 4,claim,n
Sublist 4,claim,v
Sublist 4,climate,n
Sublist 4,comparison,n
Sublist 4,competition,n
Sublist 4,concern,n
Sublist 4,concern,v
Sublist 4,conduct,n
Sublist 4,conduct,v
Sublist 4,consideration,n
Sublist 4,consist,v
Sublist 4,consistent,adj
Sublist 4,constitute,v
Sublist 4,consumption,n
Sublist 4,create,v
Sublist 4,difficult,adj
Sublist 4,dimension,n
Sublist 4,equal,adj
Sublist 4,equal,v
Sublist 4,error,n
Sublist 4,essential,adj
Sublist 4,ethnic,adj
Sublist 4,evaluate,v
Sublist 4,evolution,n
Sublist 4,experiment,n
Sublist 4,explore,v
Sublist 4,field,n
Sublist 4,formation,n
Sublist 4,functional,adj
Sublist 4,fundamental,adj
Sublist 4,goal,n
Sublist 4,history,n
Sublist 4,hypothesis,n
Sublist 4,illustrate,v
Sublist 4,implement,v
Sublist 4,indeed,adv
Sublist 4,independent,adj
Sublist 4,initial,adj
Sublist 4,integration,n
Sublist 4,interpret,v
Sublist 4,item,n
Sublist 4,large,adj
Sublist 4,learning,n
Sublist 4,loss,n
Sublist 4,majority,n
Sublist 4,modern,adj
Sublist 4,moreover,adv
Sublist 4,most,det
Sublist 4,natural,adj
Sublist 4,notion,n
Sublist 4,object,n
Sublist 4,objective,adj
Sublist 4,objective,n
Sublist 4,observation,n
Sublist 4,operate,v
Sublist 4,operation,n
Sublist 4,opportunity,n
Sublist 4,origin,n
Sublist 4,particularly,adv
Sublist 4,perceive,v
Sublist 4,phenomenon,n
Sublist 4,point,n
Sublist 4,possibility,n
Sublist 4,power,n
Sublist 4,predict,v
Sublist 4,proportion,n
Sublist 4,protection,n
Sublist 4,purpose,n
Sublist 4,rather,adv
Sublist 4,regard,n
Sublist 4,regard,v
Sublist 4,regional,adj
Sublist 4,regulation,n
Sublist 4,representation,n
Sublist 4,respect,n
Sublist 4,respectively,adv
Sublist 4,rise,n
Sublist 4,select,v
Sublist 4,selection,n
Sublist 4,sexual,adj
Sublist 4,similarly,adv
Sublist 4,situation,n
Sublist 4,stage,n
Sublist 4,target,n
Sublist 4,target,v
Sublist 4,theoretical,adj
Sublist 4,tool,n
Sublist 4,transition,n
Sublist 4,trend,n
Sublist 4,typically,adv
Sublist 4,underlying,adj
Sublist 4,variety,n
Sublist 4,various,adj
Sublist 4,view,n
Sublist 4,view,v
Sublist 5,ability,n
Sublist 5,actual,adj
Sublist 5,adopt,v
Sublist 5,advantage,n
Sublist 5,age,n
Sublist 5,agreement,n
Sublist 5,allow,v
Sublist 5,although,conj
Sublist 5,article,n
Sublist 5,attitude,n
Sublist 5,authority,n
Sublist 5,bias,n
Sublist 5,bias,v
Sublist 5,broad,adj
Sublist 5,can,modal
Sublist 5,can,v
Sublist 5,choice,n
Sublist 5,circumstance,n
Sublist 5,clear,adj
Sublist 5,combination,n
Sublist 5,combine,v
Sublist 5,commonly,adv
Sublist 5,complexity,n
Sublist 5,conclude,v
Sublist 5,conclusion,n
Sublist 5,construct,n
Sublist 5,construct,v
Sublist 5,core,n
Sublist 5,debate,n
Sublist 5,degree,n
Sublist 5,design,n
Sublist 5,design,v
Sublist 5,directly,adv
Sublist 5,distinct,adj
Sublist 5,distinction,n
Sublist 5,distinguish,v
Sublist 5,dominant,adj
Sublist 5,efficiency,n
Sublist 5,emerge,v
Sublist 5,emphasis,n
Sublist 5,emphasize,v
Sublist 5,empirical,adj
Sublist 5,enable,v
Sublist 5,enhance,v
Sublist 5,establish,v
Sublist 5,evaluation,n
Sublist 5,exchange,n
Sublist 5,exclude,v
Sublist 5,expectation,n
Sublist 5,explanation,n
Sublist 5,facilitate,v
Sublist 5,fact,n
Sublist 5,failure,n
Sublist 5,female,adj
Sublist 5,female,n
Sublist 5,financial,adj
Sublist 5,further,adj
Sublist 5,future,adj
Sublist 5,future,n
Sublist 5,highly,adv
Sublist 5,implementation,n
Sublist 5,impose,v
Sublist 5,index,n
Sublist 5,indicator,n
Sublist 5,interest,n
Sublist 5,investigate,v
Sublist 5,investigation,n
Sublist 5,judgement,n
Sublist 5,lack,n
Sublist 5,lack,v
Sublist 5,limitation,n
Sublist 5,limited,adj
Sublist 5,link,n
Sublist 5,link,v
Sublist 5,location,n
Sublist 5,main,adj
Sublist 5,maintain,v
Sublist 5,male,adj
Sublist 5,male,n
Sublist 5,many,det
Sublist 5,mental,adj
Sublist 5,mode,n
Sublist 5,movement,n
Sublist 5,necessarily,adv
Sublist 5,norm,n
Sublist 5,other,adj
Sublist 5,participation,n
Sublist 5,perception,n
Sublist 5,prevent,v
Sublist 5,prior,adj
Sublist 5,propose,v
Sublist 5,regime,n
Sublist 5,relate,v
Sublist 5,rely,v
Sublist 5,resistance,n
Sublist 5,secondary,adj
Sublist 5,seek,v
Sublist 5,simple,adj
Sublist 5,single,adj
Sublist 5,specifically,adv
Sublist 5,specify,v
Sublist 5,stress,n
Sublist 5,stress,v
Sublist 5,subject,adj
Sublist 5,subject,n
Sublist 5,subject,v
Sublist 5,supply,n
Sublist 5,supply,v
Sublist 5,support,n
Sublist 5,support,v
Sublist 5,task,n
Sublist 5,transfer,n
Sublist 5,transfer,v
Sublist 5,urban,adj
Sublist 5,via,prep
Sublist 6,absence,n
Sublist 6,agent,n
Sublist 6,approximately,adv
Sublist 6,below,adv
Sublist 6,below,prep
Sublist 6,cause,n
Sublist 6,cause,v
Sublist 6,chain,n
Sublist 6,channel,n
Sublist 6,clearly,adv
Sublist 6,code,n
Sublist 6,code,v
Sublist 6,conception,n
Sublist 6,constant,adj
Sublist 6,constant,n
Sublist 6,constraint,n
Sublist 6,contribute,v
Sublist 6,contribution,n
Sublist 6,correlation,n
Sublist 6,correspond,v
Sublist 6,decade,n
Sublist 6,decline,n
Sublist 6,decline,v
Sublist 6,dependent,adj
Sublist 6,detail,n
Sublist 6,detailed,adj
Sublist 6,difficulty,n
Sublist 6,discrimination,n
Sublist 6,diverse,adj
Sublist 6,diversity,n
Sublist 6,divide,v
Sublist 6,early,adj
