A,B,C
1,VER,provide
2,VER,take
3,VER,con
4,VER,see
5,VER,come
6,VER,help
7,VER,include
8,VER,create
9,VER,play
10,VER,work
11,VER,know
12,VER,find
13,VER,love
14,VER,may
15,VER,offer
16,VER,add
17,VER,wan
18,VER,need
19,VER,want
20,VER,learn
21,VER,thin
22,VER,think
23,VER,look
24,VER,click
25,VER,must
26,VER,tell
27,VER,try
28,VER,could
29,VER,design
30,VER,install
31,VER,write
32,VER,call
33,VER,give
34,VER,buy
35,VER,run
36,VER,feel
37,VER,read
38,VER,feature
39,VER,receive
40,VER,share
41,VER,enjoy
42,VER,serve
43,VER,require
44,VER,like
45,VER,sup
46,VER,keep
47,VER,pay
48,VER,complete
49,VER,allow
50,VER,star
51,VER,contact
52,VER,build
53,VER,start
54,VER,teach
55,VER,win
56,VER,select
57,VER,wear
58,VER,should
59,VER,check
60,VER,post
61,VER,support
62,VER,eat
63,VER,apply
64,VER,release
65,VER,show
66,VER,ensure
67,VER,live
68,VER,locate
69,VER,set
70,VER,sell
71,VER,join
72,VER,become
73,VER,seem
74,VER,send
75,VER,deliver
76,VER,visit
77,VER,connect
78,VER,publish
79,VER,up
80,VER,watch
81,VER,fit
82,VER,develop
83,VER,cook
84,VER,travel
85,VER,ask
86,VER,bring
87,VER,drive
88,VER,enable
89,VER,announce
90,VER,meet
91,VER,download
92,VER,leave
93,VER,thank
94,VER,put
95,VER,display
96,VER,save
97,VER,choose
98,VER,rid
99,VER,explore
100,VER,talk
101,VER,manage
102,VER,let
103,VER,sub
104,VER,change
105,VER,contain
106,VER,cause
107,VER,score
108,VER,grow
109,VER,beg
110,VER,begin
111,VER,might
112,VER,note
113,VER,update
114,VER,ride
115,VER,earn
116,VER,list
117,VER,print
118,VER,shoot
119,VER,cut
120,VER,hear
121,VER,open
122,VER,record
123,VER,remove
124,VER,study
125,VER,prod
126,VER,produce
127,VER,continue
128,VER,kill
129,VER,order
130,VER,plan
131,VER,follow
132,VER,reduce
133,VER,perform
134,VER,hold
135,VER,protect
136,VER,configure
137,VER,review
138,VER,submit
139,VER,purchase
140,VER,edit
141,VER,recommend
142,VER,replace
143,VER,enter
144,VER,hop
145,VER,mean
146,VER,hope
147,VER,bake
148,VER,believe
149,VER,invest
150,VER,boo
151,VER,improve
152,VER,happen
153,VER,specify
154,VER,test
155,VER,listen
156,VER,lead
157,VER,sign
158,VER,treat
159,VER,sound
160,VER,operate
161,VER,file
162,VER,place
163,VER,report
164,VER,ship
165,VER,finish
166,VER,cover
167,VER,fly
168,VER,race
169,VER,born
170,VER,move
171,VER,stir
172,VER,host
173,VER,attend
174,VER,mar
175,VER,prep
176,VER,prepare
177,VER,form
178,VER,assist
179,VER,hire
180,VER,book
181,VER,hit
182,VER,vie
183,VER,view
184,VER,comment
185,VER,turn
186,VER,base
187,VER,spend
188,VER,paint
189,VER,taste
190,VER,feed
191,VER,implement
192,VER,train
193,VER,define
194,VER,focus
195,VER,answer
196,VER,speak
197,VER,return
198,VER,sit
199,VER,understand
200,VER,tag
201,VER,rate
202,VER,register
203,VER,access
204,VER,fix
205,VER,account
206,VER,search
207,VER,trade
208,VER,welcome
209,VER,experience
210,VER,mix
211,VER,stay
212,VER,engage
213,VER,appear
214,VER,prevent
215,VER,tire
216,VER,die
217,VER,pray
218,VER,carry
219,VER,launch
220,VER,walk
221,VER,clean
222,VER,lose
223,VER,drink
224,VER,identify
225,VER,explain
226,VER,occur
227,VER,pull
228,VER,name
229,VER,claim
230,VER,mount
231,VER,draw
232,VER,plant
233,VER,sin
234,VER,increase
235,VER,present
236,VER,discover
237,VER,graduate
238,VER,pick
239,VER,remember
240,VER,discuss
