SEQ,LV,Word,Type
1,A1,a,indefinitearticle
2,A1,about,adv
3,A1,about,prep
4,A1,above,adv
5,A1,above,prep
6,A1,across,adv
7,A1,across,prep
8,A1,action,n
9,A1,activity,n
10,A1,actor,n
11,A1,actress,n
12,A1,add,v
13,A1,address,n
14,A1,adult,n
15,A1,advice,n
16,A1,afraid,adj
17,A1,after,prep
18,A1,afternoon,n
19,A1,again,adv
20,A1,age,n
21,A1,ago,adv
22,A1,agree,v
23,A1,air,n
24,A1,airport,n
25,A1,all,det
26,A1,all,pron
27,A1,also,adv
28,A1,always,adv
29,A1,amazing,adj
30,A1,and,conj
31,A1,angry,adj
32,A1,animal,n
33,A1,another,det
34,A1,another,pron
35,A1,answer,n
36,A1,answer,v
37,A1,any,det
38,A1,any,pron
39,A1,anyone,pron
40,A1,anything,pron
41,A1,apartment,n
42,A1,apple,n
43,A1,April,n
44,A1,area,n
45,A1,arm,n
46,A1,around,adv
47,A1,around,prep
48,A1,arrive,v
49,A1,art,n
50,A1,article,n
51,A1,artist,n
52,A1,as,prep
53,A1,ask,v
54,A1,at,prep
55,A1,August,n
56,A1,aunt,n
57,A1,autumn,n
58,A1,away,adv
59,A1,baby,n
60,A1,back,adv
61,A1,back,n
62,A1,bad,adj
63,A1,bag,n
64,A1,ball,n
65,A1,banana,n
66,A1,band,n
67,A1,bank,n
68,A1,bath,n
69,A1,bathroom,n
70,A1,be,auxiliary
71,A1,be,v
72,A1,beach,n
73,A1,beautiful,adj
74,A1,because,conj
75,A1,become,v
76,A1,bed,n
77,A1,bedroom,n
78,A1,beer,n
79,A1,before,prep
80,A1,begin,v
81,A1,beginning,n
82,A1,behind,adv
83,A1,behind,prep
84,A1,believe,v
85,A1,below,adv
86,A1,below,prep
87,A1,best,adj
88,A1,better,adj
89,A1,between,prep
90,A1,bicycle,n
91,A1,big,adj
92,A1,bike,n
93,A1,bill,n
94,A1,bird,n
95,A1,birthday,n
96,A1,black,adj
97,A1,black,n
98,A1,blog,n
99,A1,blonde,adj
100,A1,blue,adj
101,A1,blue,n
102,A1,boat,n
103,A1,body,n
104,A1,book,n
105,A1,boot,n
106,A1,bored,adj
107,A1,boring,adj
108,A1,born,v
109,A1,both,det
110,A1,both,pron
111,A1,bottle,n
112,A1,box,n
113,A1,boy,n
114,A1,boyfriend,n
115,A1,bread,n
116,A1,break,n
117,A1,break,v
118,A1,breakfast,n
119,A1,bring,v
120,A1,brother,n
121,A1,brown,adj
122,A1,brown,n
123,A1,build,v
124,A1,building,n
125,A1,bus,n
126,A1,business,n
127,A1,busy,adj
128,A1,but,conj
129,A1,butter,n
130,A1,buy,v
131,A1,by,prep
132,A1,bye,exclam
133,A1,cafe,n
134,A1,cake,n
135,A1,call,n
136,A1,call,v
137,A1,camera,n
138,A1,can,modal
139,A1,can,v
140,A1,cannot,modal
141,A1,cannot,v
142,A1,capital,adj
143,A1,capital,n
144,A1,car,n
145,A1,card,n
146,A1,career,n
147,A1,carrot,n
148,A1,carry,v
149,A1,cat,n
150,A1,CD,n
151,A1,cent,n
152,A1,centre,n
153,A1,century,n
154,A1,chair,n
155,A1,change,n
156,A1,change,v
157,A1,chart,n
158,A1,cheap,adj
159,A1,check,v
160,A1,cheese,n
161,A1,chicken,n
162,A1,child,n
163,A1,chocolate,n
164,A1,choose,v
165,A1,cinema,n
166,A1,city,n
167,A1,class,n
168,A1,classroom,n
169,A1,clean,adj
170,A1,clean,v
171,A1,climb,v
172,A1,clock,n
173,A1,close,v
174,A1,clothes,n
175,A1,club,n
176,A1,coat,n
177,A1,coffee,n
178,A1,cold,adj
179,A1,cold,n
180,A1,college,n
181,A1,colour,n
182,A1,come,v
183,A1,common,adj
184,A1,company,n
185,A1,compare,v
186,A1,complete,adj
187,A1,complete,v
188,A1,computer,n
189,A1,concert,n
190,A1,conversation,n
191,A1,cook,v
192,A1,cooking,n
193,A1,cool,adj
194,A1,correct,adj
195,A1,correct,v
196,A1,cost,n
197,A1,cost,v
198,A1,could,modal
199,A1,could,v
200,A1,country,n
201,A1,course,n
202,A1,cousin,n
203,A1,cow,n
204,A1,cream,n
205,A1,create,v
206,A1,culture,n
207,A1,cup,n
208,A1,customer,n
209,A1,cut,v
210,A1,dad,n
211,A1,dance,n
212,A1,dance,v
213,A1,dancer,n
214,A1,dancing,n
215,A1,dangerous,adj
216,A1,dark,adj
217,A1,date,n
218,A1,daughter,n
219,A1,day,n
220,A1,dear,adj
221,A1,December,n
222,A1,decide,v
223,A1,delicious,adj
224,A1,describe,v
225,A1,description,n
226,A1,design,n
227,A1,design,v
228,A1,desk,n
229,A1,detail,n
230,A1,dialogue,n
231,A1,dictionary,n
232,A1,die,v
233,A1,diet,n
234,A1,difference,n
235,A1,different,adj
236,A1,difficult,adj
237,A1,dinner,n
238,A1,dirty,adj
239,A1,discuss,v
240,A1,dish,n
241,A1,do,auxiliary
242,A1,do,v
243,A1,doctor,n
244,A1,dog,n
245,A1,dollar,n
246,A1,door,n
247,A1,down,adv
248,A1,down,prep
249,A1,downstairs,adv
250,A1,draw,v
251,A1,dress,n
252,A1,dress,v
253,A1,drink,n
254,A1,drink,v
255,A1,drive,v
256,A1,driver,n
257,A1,during,prep
258,A1,DVD,n
259,A1,each,adv
260,A1,each,det
261,A1,each,pron
262,A1,ear,n
263,A1,early,adj
264,A1,early,adv
265,A1,east,adj
266,A1,east,adv
267,A1,east,n
268,A1,easy,adj
269,A1,eat,v
270,A1,egg,n
271,A1,eight,number
272,A1,eighteen,number
273,A1,eighty,number
274,A1,elephant,n
275,A1,eleven,number
276,A1,else,adv
277,A1,email,n
278,A1,email,v
